"ISO","Language","Family","Area","H","H_unigram","L2prop","MC","NumChap","Population","Rangesize","vehicularity","ethnologue_L2_users","used_as_L2_by","notes"
"anh","Nend","Trans-New-Guinea","N-Coast-New-Guinea",NA,NA,0,1,1,2000,195.7006302,0,FALSE,NA,""
"ank","Goemai","Afro-Asiatic","African-Savannah",NA,NA,0,0,8,200000,1822.209832,0,FALSE,NA,""
"ann","Obolo","Niger-Congo","African-Savannah",1.50146734714508,8.70216751098633,0,0.416666656732559,12,200000,1294.374593,0,FALSE,NA,""
"ano","Andoque","Language-isolate","NE-South-America",NA,NA,0,0.75,4,370,925.8038372,0,FALSE,"noj",""
"anq","Jarawa","Andamanese","Southeast-Asia",NA,NA,0,1,1,250,344.8038855,0,FALSE,NA,""
"anu","Anuak","Nilo-Saharan","Greater-Abyssinia",NA,NA,0.014580885879696,0.571428596973419,7,97600,17030.82937,0,TRUE,NA,""
"anv","Denya","Niger-Congo","",1.70881056785584,9.37690734863281,0,NA,NA,11200,1873.481402,0,FALSE,"ael:bec:kvm:ken",""
"any","Anyin","Niger-Congo","African-Savannah",NA,NA,0.014568764716387,1,2,860000,28672.71979,0,TRUE,"abu:ati:eot:gwa",""
"anz","Anem","Yele-West-New-Britain","N-Coast-New-Guinea",NA,NA,0,0.800000011920929,5,550,486.6821345,0,FALSE,NA,""
"aoa","Angolar","Creole","S-Africa",NA,NA,0,0.5,1,5000,128.2676637,0,FALSE,NA,""
"aoc","Pemon","Cariban","NE-South-America",NA,NA,0,0,1,6160,56979.50003,0,FALSE,"shb:spc",""
"aoi","Anindilyakwa","Australian","N-Australia",NA,9.7968635559082,0,0.833333313465118,6,1240,2590.059038,0,FALSE,NA,""
"aoj","Mufian","Torricelli","N-Coast-New-Guinea",1.4459753036499,9.55925559997559,0,0.428571432828903,7,11000,321.7530272,0,FALSE,NA,""
"aom","Ömie","Trans-New-Guinea","S-New-Guinea",1.36037707328796,10.0992660522461,0,0.5,6,800,372.2014103,0,FALSE,NA,""
"aon","Bumbita Arapesh","Torricelli","N-Coast-New-Guinea",1.21875619888306,8.83078956604004,0,NA,NA,4340,70.74997157,0,FALSE,NA,""
"aoz","Uab Meto","Austronesian","Oceania",1.46920454502106,8.24532985687256,0,NA,NA,586000,10893.83887,0,FALSE,"heg",""
"apb","Sa'a","Austronesian","Oceania",NA,NA,0,0.200000002980232,5,11500,462.9074539,0,FALSE,"ora",""
"apc","North Levantine Spoken Arabic","Afro-Asiatic","Greater-Mesopotamia",NA,NA,NA,0.850000023841858,6.5,13300000,43176.46394,1,FALSE,"kmr:amw",""
"ape","Bukiyip","Torricelli","N-Coast-New-Guinea",1.26825451850891,9.21878337860107,0,0.538265287876129,21,16200,1027.310575,0,FALSE,NA,""
"aph","Athpariya","Sino-Tibetan","Indic",NA,NA,0,0.888888895511627,9,2000,60.14979524,0,FALSE,NA,""
"apm","Mescalero-Chiricahua Apache","Eyak-Athabaskan","Basin-and-Plains",NA,NA,0,1,1,1800,1539.40346,0,FALSE,NA,""
"apn","Apinayé","Jean","NE-South-America",1.2746514081955,7.53323602676392,0,0.550000011920929,5,1260,3609.218396,0,FALSE,NA,""
"apq","A-Pucikwar","Andamanese","Southeast-Asia",NA,NA,0,1,3,10,665.817013,0,FALSE,NA,"No known L1 speakers"
"apr","Arop-Lukep","Austronesian","N-Coast-New-Guinea",1.19883489608765,7.60562515258789,0,0.25,4,3020,520.8765054,0,FALSE,NA,""
"apt","Apatani","Sino-Tibetan","Indic",NA,NA,0,0.5,7,24000,2587.781795,0,FALSE,NA,""
"apu","Apurinã","Maipurean","NE-South-America",1.36331748962402,9.98533725738525,0,0.573015868663788,27,4087,31295.5603,0,FALSE,NA,""
"apw","Western Apache","Eyak-Athabaskan","Basin-and-Plains",1.5226321220398,10.5008249282837,0,1,5,12700,8001.813515,0,FALSE,NA,"A few children at San Carlos and Fort Apache are L1 speakers but most younger people are passive or semi-passive (Golla 2007)."
"apy","Apalaí","Cariban","NE-South-America",1.34665989875793,8.88337421417236,0,0.571428596973419,14,450,2475.881412,0,FALSE,NA,""
"apz","Safeyoka","Trans-New-Guinea","Interior-New-Guinea",1.21596527099609,9.69814586639404,0,NA,NA,2390,691.8976791,0,FALSE,NA,""
"aqc","Archi","North-Caucasian","Greater-Mesopotamia",NA,NA,0,0.709090888500214,11,1200,45.69018084,0,FALSE,NA,""
"are","Western Arrarnta","Australian","S-Australia",1.16981589794159,9.32016181945801,0,1,5,1000,36796.67371,0,FALSE,NA,""
"arh","Arhuaco","Chibchan","NE-South-America",NA,NA,0,0.660317480564118,21,14800,627.302018,0,FALSE,NA,""
"ari","Arikara","Caddoan","Basin-and-Plains",NA,NA,0,1,1,20,835.1417741,0,FALSE,NA,""
