ISO,Language,Family,Area,H,H_unigram,L2prop,MC,NumChap,Population,Rangesize,vehicularity,ethnologue_L2_users,used_as_L2_by,notes,NOTA BENE! Remember to use Ethnologue version 20 (the 2017 version)!,,,
anv,Denya,Niger-Congo,,1.708810568,9.376907349,0,,,11200,1873.481402,0,FALSE,"Used as L2 by Ambele [ael], Iceve-Maci [bec], Kendem [kvm], Kenyang [ken].",,,,,
any,Anyin,Niger-Congo,African-Savannah,,,0.01456876472,1,2,860000,28672.71979,0,TRUE,"Used as L2 by Abure [abu], Attié [ati], Beti [eot], Mbato [gwa].",,,,,
anz,Anem,Yele-West-New-Britain,N-Coast-New-Guinea,,,0,0.8000000119,5,550,486.6821345,0,FALSE,no information,,,,,
aoa,Angolar,Creole,S-Africa,,,0,0.5,1,5000,128.2676637,0,FALSE,no information,,,,,
aoc,Pemon,Cariban,NE-South-America,,,0,0,1,6160,56979.50003,0,FALSE,"Used as L2 by Ninam [shb], Sapé [spc].",,,,,
aoi,Anindilyakwa,Australian,N-Australia,,9.796863556,0,0.8333333135,6,1240,2590.059038,0,FALSE,no information,,,,,
aoj,Mufian,Torricelli,N-Coast-New-Guinea,1.445975304,9.5592556,0,0.4285714328,7,11000,321.7530272,0,FALSE,no information,,,,,
aom,Ömie,Trans-New-Guinea,S-New-Guinea,1.360377073,10.09926605,0,0.5,6,800,372.2014103,0,FALSE,no information,,,,,
aon,Bumbita Arapesh,Torricelli,N-Coast-New-Guinea,1.218756199,8.830789566,0,,,4340,70.74997157,0,FALSE,no information,,,,,
aoz,Uab Meto,Austronesian,Oceania,1.469204545,8.245329857,0,,,586000,10893.83887,0,FALSE,Used as L2 by Helong [heg].,,,,,
apb,Sa'a,Austronesian,Oceania,,,0,0.200000003,5,11500,462.9074539,0,FALSE,Used as L2 by Oroha [ora].,,,,,
apc,North Levantine Spoken Arabic,Afro-Asiatic,Greater-Mesopotamia,,,,0.8500000238,6.5,13300000,43176.46394,1,FALSE,"Used as L2 by Northern Kurdish [kmr], Western Neo-Aramaic [amw].",,,,,
ape,Bukiyip,Torricelli,N-Coast-New-Guinea,1.268254519,9.218783379,0,0.5382652879,21,16200,1027.310575,0,FALSE,no information,,,,,
aph,Athpariya,Sino-Tibetan,Indic,,,0,0.8888888955,9,2000,60.14979524,0,FALSE,no information,,,,,
apm,Mescalero-Chiricahua Apache,Eyak-Athabaskan,Basin-and-Plains,,,0,1,1,1800,1539.40346,0,FALSE,no information,,,,,
apn,Apinayé,Jean,NE-South-America,1.274651408,7.533236027,0,0.5500000119,5,1260,3609.218396,0,FALSE,no information,,,,,
apq,A-Pucikwar,Andamanese,Southeast-Asia,,,0,1,3,10,665.817013,0,FALSE,no information,No known L1 speakers,,,,
apr,Arop-Lukep,Austronesian,N-Coast-New-Guinea,1.198834896,7.605625153,0,0.25,4,3020,520.8765054,0,FALSE,no information,,,,,
apt,Apatani,Sino-Tibetan,Indic,,,0,0.5,7,24000,2587.781795,0,FALSE,no information,,,,,
apu,Apurinã,Maipurean,NE-South-America,1.36331749,9.985337257,0,0.5730158687,27,4087,31295.5603,0,FALSE,no information,,,,,
apw,Western Apache,Eyak-Athabaskan,Basin-and-Plains,1.522632122,10.50082493,0,1,5,12700,8001.813515,0,FALSE,no information,A few children at San Carlos and Fort Apache are L1 speakers but most younger people are passive or semi-passive (Golla 2007).,,,,
apy,Apalaí,Cariban,NE-South-America,1.346659899,8.883374214,0,0.571428597,14,450,2475.881412,0,FALSE,no information,,,,,
apz,Safeyoka,Trans-New-Guinea,Interior-New-Guinea,1.215965271,9.698145866,0,,,2390,691.8976791,0,FALSE,no information,,,,,
aqc,Archi,North-Caucasian,Greater-Mesopotamia,,,0,0.7090908885,11,1200,45.69018084,0,FALSE,no information,,,,,
are,Western Arrarnta,Australian,S-Australia,1.169815898,9.320161819,0,1,5,1000,36796.67371,0,FALSE,no information,,,,,
arh,Arhuaco,Chibchan,NE-South-America,,,0,0.6603174806,21,14800,627.302018,0,FALSE,no information,,,,,
ari,Arikara,Caddoan,Basin-and-Plains,,,0,1,1,20,835.1417741,0,FALSE,no information,,,,,
arl,Arabela,Zaparoan,NE-South-America,1.283598423,9.745816231,0,0.875,1,50,983.3332509,0,FALSE,no information,,,,,
arn,Mapudungun,Mapudungu,Andean,1.493659496,8.50596714,0,0.5031135678,26,300000,160095.4668,0,FALSE,no information,,,,,
